,,,,,,,,,,,,,,
,F5.1 - KAREN T. / MADONNA H.,,,,,F5.2 - SHADY S. / MARY F.,,,,,F5.3 - KIRMINA S. / JOHN A. ,,,
,Block 1 - Day 1,,,,,Block 1 - Day 1,,,,,Block 1 - Day 1,,,
,Time,Game,,Location,,Time,Game,,Location,,Time,Game,,Location
,11:00 AM,Big Mac,,Football Field,,11:00 AM,Talk,,Main Hall,,11:00 AM,Talk,Big Mac,Main Hall / Football Field
,11:30 AM,Talk,,Main Hall,,11:30 AM,Big Mac,,Football Field,,11:30 AM,Big Mac,Talk,Football Field / Main Hall
,12:00 PM,Cone Memory,,Court,,12:00 PM,Scale,,Terrace,,12:00 PM,Chubby Bunny,,Pool
,12:20 PM,Chubby Bunny,,Pool,,12:20 PM,Cone Memory,,Court,,12:20 PM,Scale,,Terrace
,12:40 PM,Scale,,Terrace,,12:40 PM,Chubby Bunny,,Pool,,12:40 PM,Cone Memory,,Court
,1:00 PM,END OF BLOCK,,,,1:00 PM,END OF BLOCK,,,,1:00 PM,END OF BLOCK,,
,Block 2 - Day 1,,,,,Block 2 - Day 1,,,,,Block 2 - Day 1,,,
,Time,Game,,Location,,Time,Game,,Location,,Time,Game,,Location
,5:00 PM,Bible Whispers,,Pool,,5:00 PM,Puzzle,,Court,,5:00 PM,Lift,,Terrace
,5:20 PM,Lift,,Terrace,,5:20 PM,Bible Whispers,,Pool,,5:20 PM,Puzzle,,Court
,5:40 PM,Puzzle,,Court,,5:40 PM,Lift,,Terrace,,5:40 PM,Bible Whispers,,Pool
,6:00 PM,Talk,,Main Hall,,6:00 PM,Talk,Cheesy Strings,Main Hall / Football Field,,6:00 PM,Cheesy Strings,,Football Field
,6:30 PM,Cheesy Strings,,Football Field,,6:30 PM,Cheesy Strings,Talk,Football Field / Main Hall,,6:30 PM,Talk,,Main Hall
,7:00 PM,END OF BLOCK,,,,7:00 PM,END OF BLOCK,,,,7:00 PM,END OF BLOCK,,
,Block 3 - Day 1,,,,,Block 3 - Day 1,,,,,Block 3 - Day 1,,,
,Time,Game,,Location,,Time,Game,,Location,,Time,Game,,Location
,7:15 PM,Talk 1,Big Bucket 1,Main Hall / Football Field,,7:15 PM,Talk 1,,Main Hall 1,,7:15 PM,Talk 1,,Main Hall 1
,7:45 PM,Big Bucket 1,Talk 1,Football Field / Main Hall,,7:45 PM,Big Bucket 1,,Football Field 1,,7:45 PM,Big Bucket 1,,Football Field 1
,8:15 PM,END OF BLOCK,,,,8:15 PM,END OF BLOCK,,,,8:15 PM,END OF BLOCK,,
,Block 4 - Day 2,,,,,Block 4 - Day 2,,,,,Block 4 - Day 2,,,
,Time,Game,,Location,,Time,Game,,Location,,Time,Game,,Location
,10:00 AM,Golden Snitch 1,,Football Field,,10:00 AM,Nadala+ 1,,Roof,,10:00 AM,Talk 1,,Main Hall 1
,10:30 AM,Nadala+ 1,,Roof,,10:30 AM,Talk 1,,Main Hall 1,,10:30 AM,Balloon Darts 1,,Court
,11:00 AM,Talk 1,,Main Hall 1,,11:00 AM,Balloon Darts 1,,Court,,11:00 AM,Golden Snitch 1,,Football Field
,11:30 AM,Balloon Darts 1,,Court,,11:30 AM,Golden Snitch 1,,Football Field,,11:30 AM,Nadala+ 1,,Roof
,12:00 PM,END OF BLOCK,,,,12:00 PM,END OF BLOCK,,,,12:00 PM,END OF BLOCK,,
,,,,,,,,,,,,,,
,F6.1 - SHERRY W. / KIRO,,,,,F6.2 - ROBERTO / MICHAEL H.,,,,,F6.3 - GINEVRA / NADA N.,,,
,Block 1 - Day 1,,,,,Block 1 - Day 1,,,,,Block 1 - Day 1,,,
,Time,Game,,Location,,Time,Game,,Location,,Time,Game,,Location
,11:00 AM,Cone Memory,,Court,,11:00 AM,Scale,,Terrace,,11:00 AM,Chubby Bunny,,Pool
,11:20 AM,Chubby Bunny,,Pool,,11:20 AM,Cone Memory,,Court,,11:20 AM,Scale,,Terrace
,11:40 PM,Scale,,Terrace,,11:40 PM,Chubby Bunny,,Pool,,11:40 PM,Cone Memory,,Court
,12:00 PM,Big Mac,,Football Field,,12:00 PM,Talk,,Main Hall,,12:00 PM,Talk,Big Mac,Main Hall / Football Field
,12:30 PM,Talk,,Main Hall,,12:30 PM,Big Mac,,Football Field,,12:30 PM,Big Mac,Talk,Football Field / Main Hall
,1:00 PM,END OF BLOCK,,,,1:00 PM,END OF BLOCK,,,,1:00 PM,END OF BLOCK,,
,Block 2 - Day 1,,,,,Block 2 - Day 1,,,,,Block 2 - Day 1,,,
,Time,Game,,Location,,Time,Game,,Location,,Time,Game,,Location
,5:00 PM,Talk,,Main Hall,,5:00 PM,Talk,Cheesy Strings,Main Hall / Football Field,,5:00 PM,Cheesy Strings,,Football Field
,5:30 PM,Cheesy Strings,,Football Field,,5:30 PM,Cheesy Strings,Talk,Football Field / Main Hall,,5:30 PM,Talk,,Main Hall
