,,,,,,,
,Block 1,,,,Block 2,,
,,,,,,,
,,Game,Location,,,Game,Location
,,Big Mac,Football Field,,,Bible Whispers,Pool
,,Talk,Main Hall,,,Lift,Terrace
,,Cone Memory,Court,,,Puzzle,Court
,,Chubby Bunny,Pool,,,Talk,Main Hall
,,Scale,Terrace,,,Cheesy Strings,Football Field
,,,,,,,
,Block 3,,,,Block 4,,
,,,,,,,
,,Talk,Main Hall,,,Balloon Darts 1,Court
,,Big Bucket,Football Field,,,Nadala+ 1,Roof
,,,,,,Golden Snitch 1,Football Field
,,,,,,Balloon Darts 2,Pool
,,,,,,Nadala+ 2,Roof
,,,,,,Golden Snitch 2,Football Field
,,,,,,,
,,,,,,,
,,,,,,,
,,1. Football Field,,,,,
,,2. Terrace,,,,,
,,3. Court,,,,,
,,4. Pool,,,,,
,,5. Roof,,,,,
,,MH = Main Hall,,,,,
